Entry	Entry name	Status	Protein names	Gene names	Organism	Length	EC number
P45375	PHAB_ALLVD	reviewed	Acetoacetyl-CoA reductase (EC 1.1.1.36)	phaB phbB Alvin_0066	Allochromatium vinosum (strain ATCC 17899 / DSM 180 / NBRC 103801 / NCIMB 10441 / D) (Chromatium vinosum)	246	1.1.1.36
Q6F7B8	ACR1_ACIAD	reviewed	Fatty acyl-CoA reductase (EC 1.2.1.n2)	acr1 ACIAD3383	Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1)	295	1.2.1.n2
Q9L9F7	NOVK_STRNV	reviewed	Short-chain dehydrogenase/reductase family member NovK (Novobiocin biosynthesis protein K)	novK	Streptomyces niveus (Streptomyces spheroides)	244	-.-.-.-
P47230	BPHB_RHOGO	reviewed	,Cis-2,,3-dihydrobiphenyl-2,,3-diol dehydrogenase (EC 1.3.1.56) (2,,3-dihydro-2,,3-dihydroxybiphenyl dehydrogenase) (2,,3-dihydroxy-4-phenylhexa-4,,6-diene dehydrogenase) (Biphenyl-2,,3-dihydro-2,,3-diol dehydrogenase) (Biphenyl-cis-diol dehydrogenase),	bphB	Rhodococcus globerulus	280	1.3.1.56
P08088	BNZE_PSEPU	reviewed	,Cis-1,,2-dihydrobenzene-1,,2-diol dehydrogenase (EC 1.3.1.19) (Cis-benzene glycol dehydrogenase),	bnzE	Pseudomonas putida (Arthrobacter siderocapsulatus)	275	1.3.1.19
P50204	PHAB_PARDE	reviewed	Acetoacetyl-CoA reductase (EC 1.1.1.36)	phaB	Paracoccus denitrificans	242	1.1.1.36
P50206	BPHB_PSES1	reviewed	,Cis-2,,3-dihydrobiphenyl-2,,3-diol dehydrogenase (EC 1.3.1.56) (2,,3-dihydro-2,,3-dihydroxybiphenyl dehydrogenase) (2,,3-dihydroxy-4-phenylhexa-4,,6-diene dehydrogenase) (Biphenyl-2,,3-dihydro-2,,3-diol dehydrogenase) (Biphenyl-cis-diol dehydrogenase),	bphB	Pseudomonas sp. (strain KKS102)	276	1.3.1.56
P37079	SORD_KLEPN	reviewed	Sorbitol-6-phosphate 2-dehydrogenase (EC 1.1.1.140) (Glucitol-6-phosphate dehydrogenase) (Ketosephosphate reductase)	sorD	Klebsiella pneumoniae	267	1.1.1.140
P17611	NODG_AZOBR	reviewed	Nodulation protein G	nodG	Azospirillum brasilense	246	-.-.-.-
P50203	PHAB_ACISR	reviewed	Acetoacetyl-CoA reductase (EC 1.1.1.36)	phaB	Acinetobacter sp. (strain RA3849)	248	1.1.1.36
P50202	MAS1_AGRT9	reviewed	Agropine synthesis reductase (EC 1.-.-.-)	mas1	Agrobacterium tumefaciens (strain 15955)	430	1.-.-.-
P50201	MAS12_AGRRH	reviewed	Agropine synthesis reductase (EC 1.-.-.-)	mas1	Agrobacterium rhizogenes	430	1.-.-.-
P27874	MAS11_AGRRH	reviewed	Agropine synthesis reductase (EC 1.-.-.-)	mas1	Agrobacterium rhizogenes	430	1.-.-.-
Q01198	LIGD_SPHSK	reviewed	C alpha-dehydrogenase (EC 1.-.-.-)	ligD	Sphingobium sp. (strain NBRC 103272 / SYK-6)	305	1.-.-.-
P39577	DLTE_BACSU	reviewed	Uncharacterized oxidoreductase DltE (EC 1.-.-.-)	dltE BSU38540 ipa-1r	Bacillus subtilis (strain 168)	252	1.-.-.-
E3VWK2	PENF_STREX	reviewed	1-deoxy-11-beta-hydroxypentalenate dehydrogenase (EC 1.1.1.340) (Pentalenolactone biosynthesis protein F)	penF	Streptomyces exfoliatus (Streptomyces hydrogenans)	275	1.1.1.340
Q5HKG6	BUTA_STAEQ	reviewed	,Diacetyl reductase [(S)-acetoin forming] (EC 1.1.1.304) (Acetoin(diacetyl) reductase) (AR) (Meso-2,,3-butanediol dehydrogenase),	butA SERP2379	Staphylococcus epidermidis (strain ATCC 35984 / RP62A)	257	1.1.1.304
E3VWI6	PNTF_STRAE	reviewed	1-deoxy-11-beta-hydroxypentalenate dehydrogenase (EC 1.1.1.340) (Pentalenolactone biosynthesis protein F)	pntF	Streptomyces arenae	282	1.1.1.340
O66148	POR_LEPBY	reviewed	Light-dependent protochlorophyllide reductase (PCR) (EC 1.3.1.33) (NADPH-protochlorophyllide oxidoreductase) (LPOR) (POR)	por	Leptolyngbya boryana (Plectonema boryanum)	322	1.3.1.33
P00335	RIDH_KLEAE	reviewed	Ribitol 2-dehydrogenase (RDH) (EC 1.1.1.56)	rbtD	Klebsiella aerogenes (Enterobacter aerogenes)	249	1.1.1.56
Q9ZAU1	DNRU_STRPE	reviewed	Putative daunorubicin C-13 ketoreductase DnrU (EC 1.1.1.-)	dnrU	Streptomyces peucetius	287	1.1.1.-
P0A9Q0	IDNO_ECOL6	reviewed	5-keto-D-gluconate 5-reductase (EC 1.1.1.69)	idnO c5367	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	254	1.1.1.69
P37694	HETN_NOSS1	reviewed	Ketoacyl reductase HetN (EC 1.3.1.-)	hetN alr5358	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)	287	1.3.1.-
P31808	YCIK_ECOLI	reviewed	Uncharacterized oxidoreductase YciK (EC 1.-.-.-)	yciK b1271 JW1263	Escherichia coli (strain K12)	252	1.-.-.-
P43168	YMP3_STRCH	reviewed	Uncharacterized oxidoreductase in mprA 5'region (EC 1.-.-.-) (ORF3)		Streptomyces coelicolor	251	1.-.-.-
O32099	BZRD_BACSU	reviewed	Benzil reductase ((S)-benzoin forming) (EC 1.1.1.320)	yueD BSU31840	Bacillus subtilis (strain 168)	243	1.1.1.320
Q8U8I2	SDH_AGRFC	reviewed	Serine 3-dehydrogenase (EC 1.1.1.276)	sdh Atu4110 AGR_L_1487	Agrobacterium fabrum (strain C58 / ATCC 33970) (Agrobacterium tumefaciens (strain C58))	249	1.1.1.276
P9WGQ7	Y1144_MYCTU	reviewed	Uncharacterized oxidoreductase Rv1144 (EC 1.-.-.-)	Rv1144	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	250	1.-.-.-
P13859	TODD_PSEP1	reviewed	Cis-toluene dihydrodiol dehydrogenase (EC 1.3.1.-)	todD Pput_2877	Pseudomonas putida (strain ATCC 700007 / DSM 6899 / BCRC 17059 / F1)	275	1.3.1.-
P9WGS1	Y1543_MYCTU	reviewed	Uncharacterized oxidoreductase Rv1543 (EC 1.-.-.-)	Rv1543 MTCY48.22c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	341	1.-.-.-
P16542	DHK1_STRVN	reviewed	Granaticin polyketide synthase putative ketoacyl reductase 1 (EC 1.3.1.-) (ORF5)	gra-orf5	Streptomyces violaceoruber	272	1.3.1.-
P21158	CSGA_MYXXA	reviewed	C-factor (C signal)	csgA spoC	Myxococcus xanthus	166	-.-.-.-
Q9X6U2	BDHA_CUPNH	reviewed	D-beta-hydroxybutyrate dehydrogenase (BDH) (EC 1.1.1.30) (3-hydroxybutyrate dehydrogenase) (3-HBDH)	hbdH1 H16_A1334	Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) (Ralstonia eutropha)	258	1.1.1.30
P37959	YUSZ_BACSU	reviewed	Uncharacterized oxidoreductase YusZ (EC 1.-.-.-) (ORFA)	yusZ yvxA BSU32980	Bacillus subtilis (strain 168)	280	1.-.-.-
P41177	DHKR_STRCM	reviewed	Monensin polyketide synthase putative ketoacyl reductase (EC 1.3.1.-) (ORF5)		Streptomyces cinnamonensis	261	1.3.1.-
P0AFP4	YBBO_ECOLI	reviewed	Uncharacterized oxidoreductase YbbO (EC 1.-.-.-)	ybbO b0493 JW0482	Escherichia coli (strain K12)	269	1.-.-.-
P9WGR5	Y484_MYCTU	reviewed	Uncharacterized oxidoreductase Rv0484c (EC 1.-.-.-)	Rv0484c MTCY20G9.10c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	251	1.-.-.-
O05730	VDLC_HELPY	reviewed	Probable short-chain type dehydrogenase/reductase VdlC (EC 1.-.-.-)	vdlC HP_0890	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	284	1.-.-.-
P54554	YQJQ_BACSU	reviewed	Uncharacterized oxidoreductase YqjQ (EC 1.-.-.-)	yqjQ BSU23780	Bacillus subtilis (strain 168)	259	1.-.-.-
O34782	YVRD_BACSU	reviewed	Uncharacterized oxidoreductase YvrD (EC 1.-.-.-)	yvrD BSU33190	Bacillus subtilis (strain 168)	263	1.-.-.-
O32291	YXNA_BACSU	reviewed	Uncharacterized oxidoreductase YxnA (EC 1.-.-.-)	yxnA BSU40000	Bacillus subtilis (strain 168)	356	1.-.-.-
P9WGS0	Y1543_MYCTO	reviewed	Uncharacterized oxidoreductase MT1595 (EC 1.-.-.-)	MT1595	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	341	1.-.-.-
O32229	YVAG_BACSU	reviewed	Uncharacterized oxidoreductase YvaG (EC 1.-.-.-)	yvaG BSU33590	Bacillus subtilis (strain 168)	264	1.-.-.-
P14802	YOXD_BACSU	reviewed	Uncharacterized oxidoreductase YoxD (EC 1.-.-.-)	yoxD BSU18500	Bacillus subtilis (strain 168)	238	1.-.-.-
P25145	Y432_LISMO	reviewed	Uncharacterized oxidoreductase Lmo0432 (EC 1.-.-.-) (ORFA)	lmo0432	Listeria monocytogenes serovar 1/2a (strain ATCC BAA-679 / EGD-e)	248	1.-.-.-
P66778	EPHD_MYCBO	reviewed	Probable oxidoreductase EphD (EC 1.-.-.-)	ephD BQ2027_MB2237C	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97)	592	1.-.-.-
Q53877	DNRU_STRS5	reviewed	Putative daunorubicin C-13 ketoreductase DnrU (EC 1.1.1.-)		Streptomyces sp. (strain C5)	287	1.1.1.-
Q9ZKW1	VDLC_HELPJ	reviewed	Probable short-chain type dehydrogenase/reductase VdlC (EC 1.-.-.-)	vdlC jhp_0823	Helicobacter pylori (strain J99 / ATCC 700824) (Campylobacter pylori J99)	271	1.-.-.-
P9WGS2	EPHD_MYCTO	reviewed	Probable oxidoreductase EphD (EC 1.-.-.-)	ephD MT2270	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	592	1.-.-.-
P0AFP5	YBBO_ECOL6	reviewed	Uncharacterized oxidoreductase YbbO (EC 1.-.-.-)	ybbO c0614	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	269	1.-.-.-
P9WGP8	SADH_MYCTO	reviewed	Putative oxidoreductase SadH (EC 1.-.-.-)	sadH MT3170	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	276	1.-.-.-
P25970	Y5909_MYXXD	reviewed	Uncharacterized oxidoreductase MXAN_5909 (EC 1.-.-.-)	MXAN_5909	Myxococcus xanthus (strain DK 1622)	253	1.-.-.-
P45200	Y1430_HAEIN	reviewed	Probable NADP-dependent dehydrogenase HI_1430 (EC 1.1.1.-)	HI_1430	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	252	1.1.1.-
P9WGR3	Y2073_MYCTU	reviewed	Uncharacterized oxidoreductase Rv2073c (EC 1.-.-.-)	Rv2073c MTCY49.12c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	249	1.-.-.-
Q4L8Y1	Y0585_STAHJ	reviewed	Uncharacterized oxidoreductase SH0585 (EC 1.-.-.-)	SH0585	Staphylococcus haemolyticus (strain JCSC1435)	231	1.-.-.-
Q99RF5	Y2478_STAAM	reviewed	Uncharacterized oxidoreductase SAV2478 (EC 1.-.-.-)	SAV2478	Staphylococcus aureus (strain Mu50 / ATCC 700699)	231	1.-.-.-
Q2FVD5	Y2778_STAA8	reviewed	Uncharacterized oxidoreductase SAOUHSC_02778 (EC 1.-.-.-)	SAOUHSC_02778	Staphylococcus aureus (strain NCTC 8325)	231	1.-.-.-
Q4A054	Y0419_STAS1	reviewed	Uncharacterized oxidoreductase SSP0419 (EC 1.-.-.-)	SSP0419	Staphylococcus saprophyticus subsp. saprophyticus (strain ATCC 15305 / DSM 20229)	234	1.-.-.-
Q49WS9	Y1627_STAS1	reviewed	Uncharacterized oxidoreductase SSP1627 (EC 1.-.-.-)	SSP1627	Staphylococcus saprophyticus subsp. saprophyticus (strain ATCC 15305 / DSM 20229)	246	1.-.-.-
Q8CN40	Y2036_STAES	reviewed	Uncharacterized oxidoreductase SE_2036 (EC 1.-.-.-)	SE_2036	Staphylococcus epidermidis (strain ATCC 12228)	230	1.-.-.-
Q92EK7	Y452_LISIN	reviewed	Uncharacterized oxidoreductase Lin0452 (EC 1.-.-.-)	lin0452	Listeria innocua serovar 6a (strain ATCC BAA-680 / CLIP 11262)	248	1.-.-.-
P55434	Y4EK_SINFN	reviewed	Uncharacterized short-chain type dehydrogenase/reductase y4eK (EC 1.-.-.-)	NGR_a03840 y4eK	Sinorhizobium fredii (strain NBRC 101917 / NGR234)	248	1.-.-.-
P9WGR2	Y2073_MYCTO	reviewed	Uncharacterized oxidoreductase MT2133 (EC 1.-.-.-)	MT2133	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	249	1.-.-.-
P9WGQ6	Y1144_MYCTO	reviewed	Uncharacterized oxidoreductase MT1177 (EC 1.-.-.-)	MT1177	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	250	1.-.-.-
Q5HD73	Y2488_STAAC	reviewed	Uncharacterized oxidoreductase SACOL2488 (EC 1.-.-.-)	SACOL2488	Staphylococcus aureus (strain COL)	231	1.-.-.-
P9WGR4	Y484_MYCTO	reviewed	Uncharacterized oxidoreductase MT0502 (EC 1.-.-.-)	MT0502	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	251	1.-.-.-
Q5HLD8	Y2049_STAEQ	reviewed	Uncharacterized oxidoreductase SERP2049 (EC 1.-.-.-)	SERP2049	Staphylococcus epidermidis (strain ATCC 35984 / RP62A)	230	1.-.-.-
Q2FE21	Y2422_STAA3	reviewed	Uncharacterized oxidoreductase SAUSA300_2422 (EC 1.-.-.-)	SAUSA300_2422	Staphylococcus aureus (strain USA300)	231	1.-.-.-
P66780	Y1570_MYCBO	reviewed	Uncharacterized oxidoreductase Mb1570 (EC 1.-.-.-)	BQ2027_MB1570	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97)	341	1.-.-.-
Q7A3L9	Y2266_STAAN	reviewed	Uncharacterized oxidoreductase SA2266 (EC 1.-.-.-)	SA2266	Staphylococcus aureus (strain N315)	231	1.-.-.-
Q8NUV9	Y2403_STAAW	reviewed	Uncharacterized oxidoreductase MW2403 (EC 1.-.-.-)	MW2403	Staphylococcus aureus (strain MW2)	231	1.-.-.-
Q6GDV6	Y2567_STAAR	reviewed	Uncharacterized oxidoreductase SAR2567 (EC 1.-.-.-)	SAR2567	Staphylococcus aureus (strain MRSA252)	231	1.-.-.-
Q6G6J1	Y2370_STAAS	reviewed	Uncharacterized oxidoreductase SAS2370 (EC 1.-.-.-)	SAS2370	Staphylococcus aureus (strain MSSA476)	231	1.-.-.-
Q03326	OXIR_STRAT	reviewed	Probable oxidoreductase (EC 1.-.-.-)		Streptomyces antibioticus	298	1.-.-.-
P35320	OXIR_STRLI	reviewed	Probable oxidoreductase (EC 1.-.-.-)		Streptomyces lividans	297	1.-.-.-
O34896	UXUB_BACSU	reviewed	Uncharacterized oxidoreductase UxuB (EC 1.-.-.-)	uxuB yjmF BSU12350	Bacillus subtilis (strain 168)	278	1.-.-.-
P9WGR7	Y945_MYCTU	reviewed	Uncharacterized oxidoreductase Rv0945 (EC 1.-.-.-)	Rv0945 MTCY10D7.29c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	253	1.-.-.-
P44481	Y048_HAEIN	reviewed	Uncharacterized oxidoreductase HI_0048 (EC 1.-.-.-)	HI_0048	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	285	1.-.-.-
P9WGR6	Y945_MYCTO	reviewed	Uncharacterized oxidoreductase MT0971 (EC 1.-.-.-)	MT0971	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	253	1.-.-.-
P39884	YDFG_DICNO	reviewed	Probable NADP-dependent dehydrogenase in aabA 3'region (EC 1.1.1.-) (ORFB) (Fragment)		Dichelobacter nodosus (Bacteroides nodosus)	106	1.1.1.-
O32185	YUSS_BACSU	reviewed	Short-chain dehydrogenase/reductase homolog YusS	yusS BSU32910	Bacillus subtilis (strain 168)	109	-.-.-.-
