Entry	Entry name	Status	Protein names	Gene names	Organism	Length	EC number
B7KA18	GSA_GLOC7	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL PCC7424_2971	Gloeothece citriformis (strain PCC 7424) (Cyanothece sp. (strain PCC 7424))	433	5.4.3.8
B7K2I1	GSA_RIPO1	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL PCC8801_2361	Rippkaea orientalis (strain PCC 8801) (Cyanothece sp. (strain PCC 8801))	433	5.4.3.8
B0TFV0	GSA_HELMI	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL Helmi_19050 HM1_1972	Heliobacterium modesticaldum (strain ATCC 51547 / Ice1)	436	5.4.3.8
Q7V677	GSA_PROMM	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL PMT_1296	Prochlorococcus marinus (strain MIT 9313)	428	5.4.3.8
Q8CSG1	ARGD_STAES	reviewed	Acetylornithine aminotransferase (ACOAT) (EC 2.6.1.11)	argD SE_1209	Staphylococcus epidermidis (strain ATCC 12228)	375	2.6.1.11
Q8BWU8	AT2L1_MOUSE	reviewed	Ethanolamine-phosphate phospho-lyase (EC 4.2.3.2) (Alanine--glyoxylate aminotransferase 2-like 1)	Etnppl Agxt2l1	Mus musculus (Mouse)	499	4.2.3.2
Q818W2	ARGD_BACCR	reviewed	Acetylornithine aminotransferase (ACOAT) (EC 2.6.1.11)	argD BC_4127	Bacillus cereus (strain ATCC 14579 / DSM 31 / JCM 2152 / NBRC 15305 / NCIMB 9373 / NRRL B-3711)	386	2.6.1.11
B1XIT5	GSA_SYNP2	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL SYNPCC7002_A2206	Synechococcus sp. (strain ATCC 27264 / PCC 7002 / PR-6) (Agmenellum quadruplicatum)	432	5.4.3.8
Q7MAE6	ARGD_WOLSU	reviewed	Acetylornithine aminotransferase (ACOAT) (EC 2.6.1.11)	argD WS0302	Wolinella succinogenes (strain ATCC 29543 / DSM 1740 / LMG 7466 / NCTC 11488 / FDC 602W) (Vibrio succinogenes)	393	2.6.1.11
Q7V0G0	ARGD_PROMP	reviewed	Acetylornithine aminotransferase (ACOAT) (EC 2.6.1.11)	argD PMM1301	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	415	2.6.1.11
P9WPZ6	ARGD_MYCTO	reviewed	Acetylornithine aminotransferase (ACOAT) (EC 2.6.1.11)	argD MT1693	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	400	2.6.1.11
Q3ALU9	GSA_SYNSC	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL Syncc9605_0659	Synechococcus sp. (strain CC9605)	428	5.4.3.8
Q7U598	GSA_SYNPX	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL SYNW1809	Synechococcus sp. (strain WH8102)	428	5.4.3.8
A5GUJ2	GSA_SYNR3	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL SynRCC307_1648	Synechococcus sp. (strain RCC307)	434	5.4.3.8
Q0I8G1	GSA_SYNS3	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL sync_2058	Synechococcus sp. (strain CC9311)	438	5.4.3.8
B9LKS0	GSA_CHLSY	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL Chy400_2807	Chloroflexus aurantiacus (strain ATCC 29364 / DSM 637 / Y-400-fl)	443	5.4.3.8
A2C7I7	GSA_PROM3	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL P9303_06961	Prochlorococcus marinus (strain MIT 9303)	428	5.4.3.8
Q46GT9	GSA_PROMT	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL PMN2A_1816	Prochlorococcus marinus (strain NATL2A)	432	5.4.3.8
Q7W7H6	ARGD1_BORPA	reviewed	Acetylornithine aminotransferase 1 (ACOAT 1) (EC 2.6.1.11)	argD1 BPP2543	Bordetella parapertussis (strain 12822 / ATCC BAA-587 / NCTC 13253)	393	2.6.1.11
Q885K0	ARGD1_PSESM	reviewed	Acetylornithine aminotransferase 1 (ACOAT 1) (EC 2.6.1.11)	argD1 PSPTO_1832	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	405	2.6.1.11
Q9AAL3	ARGD1_CAUVC	reviewed	Acetylornithine aminotransferase 1 (ACOAT 1) (EC 2.6.1.11)	argD1 argM CC_0584	Caulobacter vibrioides (strain ATCC 19089 / CB15) (Caulobacter crescentus)	392	2.6.1.11
P49724	OAT_DROAN	reviewed	Ornithine aminotransferase, mitochondrial (EC 2.6.1.13) (Ornithine--oxo-acid aminotransferase)	Oat	Drosophila ananassae (Fruit fly)	432	2.6.1.13
Q9KU97	GSA_VIBCH	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL VC_0626	Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)	432	5.4.3.8
Q9ZEU7	ECTB_CHRSD	reviewed	Diaminobutyrate--2-oxoglutarate transaminase (EC 2.6.1.76) (DABA aminotransferase) (Diaminobutyrate--2-oxoglutarate aminotransferase) (L-2,4-diaminobutyric acid transaminase)	ectB Csal_1877	Chromohalobacter salexigens (strain DSM 3043 / ATCC BAA-138 / NCIMB 13768)	423	2.6.1.76
Q8X4V5	GSA_ECO57	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL gsa popC Z0165 ECs0158	Escherichia coli O157:H7	426	5.4.3.8
Q8FL16	GSA_ECOL6	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL gsa popC c0189	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	426	5.4.3.8
P30949	GSA_BACSU	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL hemK BSU28120	Bacillus subtilis (strain 168)	430	5.4.3.8
Q5E9S4	AT2L1_BOVIN	reviewed	Ethanolamine-phosphate phospho-lyase (EC 4.2.3.2) (Alanine--glyoxylate aminotransferase 2-like 1)	ETNPPL AGXT2L1	Bos taurus (Bovine)	497	4.2.3.2
Q54JP5	OAT_DICDI	reviewed	Probable ornithine aminotransferase (EC 2.6.1.13) (Ornithine--oxo-acid aminotransferase)	oatA DDB_G0287913	Dictyostelium discoideum (Slime mold)	416	2.6.1.13
Q725I1	GSA_DESVH	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL DVU_3168	Desulfovibrio vulgaris (strain Hildenborough / ATCC 29579 / DSM 644 / NCIMB 8303)	423	5.4.3.8
Q9KLC2	ECTB_VIBCH	reviewed	Diaminobutyrate--2-oxoglutarate transaminase (EC 2.6.1.76) (DABA aminotransferase) (Diaminobutyrate--2-oxoglutarate aminotransferase) (L-2,4-diaminobutyric acid transaminase)	ectB VC_A0824	Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)	411	2.6.1.76
Q01K12	GATP2_ORYSI	reviewed	Probable gamma-aminobutyrate transaminase 2, mitochondrial (EC 2.6.1.96)	OsI_17384 OSIGBa0126B18.6	Oryza sativa subsp. indica (Rice)	497	2.6.1.96
P30900	ARGD_RHOCB	reviewed	Acetylornithine aminotransferase (ACOAT) (EC 2.6.1.11)	argD RCAP_rcc03135	Rhodobacter capsulatus (strain ATCC BAA-309 / NBRC 16581 / SB1003)	393	2.6.1.11
Q9AP34	ECTB_SPOPA	reviewed	Diaminobutyrate--2-oxoglutarate transaminase (EC 2.6.1.76) (DABA aminotransferase) (Diaminobutyrate--2-oxoglutarate aminotransferase) (L-2,4-diaminobutyric acid transaminase)	ectB	Sporosarcina pasteurii (Bacillus pasteurii)	426	2.6.1.76
P9WMN9	GSA_MYCTU	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL Rv0524 MTCY25D10.03	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	462	5.4.3.8
A0QR33	GSA_MYCS2	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL MSMEG_0969 MSMEI_0943	Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) (Mycobacterium smegmatis)	451	5.4.3.8
Q9RWW0	GSA_DEIRA	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL DR_0555	Deinococcus radiodurans (strain ATCC 13939 / DSM 20539 / JCM 16871 / LMG 4051 / NBRC 15346 / NCIMB 9279 / R1 / VKM B-1422)	444	5.4.3.8
B7GIK0	GSA1_ANOFW	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase 1 (GSA 1) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase 1) (GSA-AT 1)	hemL1 Aflv_0363	Anoxybacillus flavithermus (strain DSM 21510 / WK1)	431	5.4.3.8
Q7N2G7	ASTC_PHOLL	reviewed	Succinylornithine transaminase (SOAT) (EC 2.6.1.81) (Carbon starvation protein C) (Succinylornithine aminotransferase)	astC argM plu3110	Photorhabdus laumondii subsp. laumondii (strain DSM 15139 / CIP 105565 / TT01)	402	2.6.1.81
Q2G283	GSA2_STAA8	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase 2 (GSA 2) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase 2) (GSA-AT 2)	hemL2 SAOUHSC_02000	Staphylococcus aureus (strain NCTC 8325)	429	5.4.3.8
B7GH35	GSA2_ANOFW	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase 2 (GSA 2) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase 2) (GSA-AT 2)	hemL2 Aflv_0610	Anoxybacillus flavithermus (strain DSM 21510 / WK1)	431	5.4.3.8
Q01K11	GATP1_ORYSI	reviewed	Gamma-aminobutyrate transaminase 1, mitochondrial (EC 2.6.1.96)	OsI_17385 OSIGBa0126B18.7	Oryza sativa subsp. indica (Rice)	516	2.6.1.96
Q4L7G9	GSA1_STAHJ	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase 1 (GSA 1) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase 1) (GSA-AT 1)	hemL1 SH1097	Staphylococcus haemolyticus (strain JCSC1435)	429	5.4.3.8
Q5ZVA6	GSA_LEGPH	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL lpg1534	Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513)	429	5.4.3.8
Q2S1S3	GSA_SALRD	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL SRU_1740	Salinibacter ruber (strain DSM 13855 / M31)	438	5.4.3.8
A8ALD5	GSA_CITK8	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL CKO_03214	Citrobacter koseri (strain ATCC BAA-895 / CDC 4225-83 / SGSC4696)	426	5.4.3.8
A4FPX3	GSA_SACEN	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL SACE_6935	Saccharopolyspora erythraea (strain ATCC 11635 / DSM 40517 / JCM 4748 / NBRC 13426 / NCIMB 8594 / NRRL 2338)	448	5.4.3.8
A7MUU9	GSA_VIBCB	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL VIBHAR_03417	Vibrio campbellii (strain ATCC BAA-1116 / BB120)	431	5.4.3.8
P36839	ARGD_BACSU	reviewed	Acetylornithine aminotransferase (ACOAT) (EC 2.6.1.11)	argD BSU11220	Bacillus subtilis (strain 168)	385	2.6.1.11
Q7MHY9	GSA_VIBVY	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL VV2728	Vibrio vulnificus (strain YJ016)	431	5.4.3.8
A5WC94	GSA_PSYWF	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL PsycPRwf_0330	Psychrobacter sp. (strain PRwf-1)	434	5.4.3.8
Q9KED4	ECTB_BACHD	reviewed	Diaminobutyrate--2-oxoglutarate transaminase (EC 2.6.1.76) (DABA aminotransferase) (Diaminobutyrate--2-oxoglutarate aminotransferase) (L-2,4-diaminobutyric acid transaminase)	ectB BH0919	Bacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125)	427	2.6.1.76
Q7WHI8	ECTB_BORBR	reviewed	Diaminobutyrate--2-oxoglutarate transaminase (EC 2.6.1.76) (DABA aminotransferase) (Diaminobutyrate--2-oxoglutarate aminotransferase) (L-2,4-diaminobutyric acid transaminase)	ectB BB3219	Bordetella bronchiseptica (strain ATCC BAA-588 / NCTC 13252 / RB50) (Alcaligenes bronchisepticus)	435	2.6.1.76
O06060	ECTB_MARHA	reviewed	Diaminobutyrate--2-oxoglutarate transaminase (EC 2.6.1.76) (DABA aminotransferase) (Diaminobutyrate--2-oxoglutarate aminotransferase) (L-2,4-diaminobutyric acid transaminase)	ectB	Marinococcus halophilus	427	2.6.1.76
Q8ESU8	ECTB_OCEIH	reviewed	Diaminobutyrate--2-oxoglutarate transaminase (EC 2.6.1.76) (DABA aminotransferase) (Diaminobutyrate--2-oxoglutarate aminotransferase) (L-2,4-diaminobutyric acid transaminase)	ectB OB0518	Oceanobacillus iheyensis (strain DSM 14371 / CIP 107618 / JCM 11309 / KCTC 3954 / HTE831)	426	2.6.1.76
Q829L4	ECTB_STRAW	reviewed	Diaminobutyrate--2-oxoglutarate transaminase (EC 2.6.1.76) (DABA aminotransferase) (Diaminobutyrate--2-oxoglutarate aminotransferase) (L-2,4-diaminobutyric acid transaminase)	ectB SAV_6397	Streptomyces avermitilis (strain ATCC 31267 / DSM 46492 / JCM 5070 / NBRC 14893 / NCIMB 12804 / NRRL 8165 / MA-4680)	423	2.6.1.76
Q6PR32	ECTB_VIRPA	reviewed	Diaminobutyrate--2-oxoglutarate transaminase (EC 2.6.1.76) (DABA aminotransferase) (Diaminobutyrate--2-oxoglutarate aminotransferase) (L-2,4-diaminobutyric acid transaminase)	ectB	Virgibacillus pantothenticus	416	2.6.1.76
A0R9G6	GSA1_BACAH	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase 1 (GSA 1) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase 1) (GSA-AT 1)	hemL1 BALH_0464	Bacillus thuringiensis (strain Al Hakam)	434	5.4.3.8
B7IIX2	GSA1_BACC2	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase 1 (GSA 1) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase 1) (GSA-AT 1)	hemL1 BCG9842_B0655	Bacillus cereus (strain G9842)	428	5.4.3.8
C1EWG6	GSA1_BACC3	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase 1 (GSA 1) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase 1) (GSA-AT 1)	hemL1 BCA_0550	Bacillus cereus (strain 03BB102)	434	5.4.3.8
B9J3N2	GSA1_BACCQ	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase 1 (GSA 1) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase 1) (GSA-AT 1)	hemL1 BCQ_0559	Bacillus cereus (strain Q1)	434	5.4.3.8
Q9KEB0	GSA1_BACHD	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase 1 (GSA 1) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase 1) (GSA-AT 1)	hemL1 gsaB BH0943	Bacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125)	437	5.4.3.8
Q65M82	GSA1_BACLD	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase 1 (GSA 1) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase 1) (GSA-AT 1)	hemL1 BLi00898 BL03060	Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / NBRC 12200 / NCIMB 9375 / NRRL NRS-1264 / Gibson 46)	432	5.4.3.8
A8FB92	GSA1_BACP2	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase 1 (GSA 1) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase 1) (GSA-AT 1)	hemL1 BPUM_0825	Bacillus pumilus (strain SAFR-032)	431	5.4.3.8
A0RXB3	GSA1_CENSY	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase 1 (GSA 1) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase 1) (GSA-AT 1)	hemL1 CENSYa_1357	Cenarchaeum symbiosum (strain A)	421	5.4.3.8
A9KP86	GSA1_LACP7	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase 1 (GSA 1) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase 1) (GSA-AT 1)	hemL1 Cphy_1373	Lachnoclostridium phytofermentans (strain ATCC 700394 / DSM 18823 / ISDg) (Clostridium phytofermentans)	427	5.4.3.8
B1HUT1	GSA1_LYSSC	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase 1 (GSA 1) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase 1) (GSA-AT 1)	hemL1 Bsph_0332	Lysinibacillus sphaericus (strain C3-41)	429	5.4.3.8
Q8CV56	GSA1_OCEIH	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase 1 (GSA 1) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase 1) (GSA-AT 1)	hemL1 OB0901	Oceanobacillus iheyensis (strain DSM 14371 / CIP 107618 / JCM 11309 / KCTC 3954 / HTE831)	432	5.4.3.8
A6U2D5	GSA1_STAA2	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase 1 (GSA 1) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase 1) (GSA-AT 1)	hemL1 SaurJH1_1759	Staphylococcus aureus (strain JH1)	428	5.4.3.8
A5ITJ2	GSA1_STAA9	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase 1 (GSA 1) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase 1) (GSA-AT 1)	hemL1 SaurJH9_1725	Staphylococcus aureus (strain JH9)	428	5.4.3.8
Q6G8Q8	GSA1_STAAS	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase 1 (GSA 1) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase 1) (GSA-AT 1)	hemL1 SAS1596	Staphylococcus aureus (strain MSSA476)	428	5.4.3.8
C3P9E6	GSA2_BACAA	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase 2 (GSA 2) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase 2) (GSA-AT 2)	hemL2 BAA_4711	Bacillus anthracis (strain A0248)	429	5.4.3.8
Q72ZW5	GSA2_BACC1	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase 2 (GSA 2) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase 2) (GSA-AT 2)	hemL2 BCE_4552	Bacillus cereus (strain ATCC 10987 / NRS 248)	429	5.4.3.8
B7IW22	GSA2_BACC2	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase 2 (GSA 2) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase 2) (GSA-AT 2)	hemL2 BCG9842_B4790	Bacillus cereus (strain G9842)	434	5.4.3.8
C1ETQ7	GSA2_BACC3	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase 2 (GSA 2) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase 2) (GSA-AT 2)	hemL2 BCA_4573	Bacillus cereus (strain 03BB102)	429	5.4.3.8
B7HE93	GSA2_BACC4	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase 2 (GSA 2) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase 2) (GSA-AT 2)	hemL2 BCB4264_A4579	Bacillus cereus (strain B4264)	429	5.4.3.8
A7GTE2	GSA2_BACCN	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase 2 (GSA 2) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase 2) (GSA-AT 2)	hemL2 Bcer98_3177	Bacillus cytotoxicus (strain DSM 22905 / CIP 110041 / 391-98 / NVH 391-98)	429	5.4.3.8
Q9K8G3	GSA2_BACHD	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase 2 (GSA 2) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase 2) (GSA-AT 2)	hemL2 hemL BH3043	Bacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125)	429	5.4.3.8
A8FFU9	GSA2_BACP2	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase 2 (GSA 2) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase 2) (GSA-AT 2)	hemL2 BPUM_2453	Bacillus pumilus (strain SAFR-032)	430	5.4.3.8
Q71YY2	GSA2_LISMF	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase 2 (GSA 2) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase 2) (GSA-AT 2)	hemL2 gsaB LMOf2365_1709	Listeria monocytogenes serotype 4b (strain F2365)	432	5.4.3.8
A6U2W8	GSA2_STAA2	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase 2 (GSA 2) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase 2) (GSA-AT 2)	hemL2 SaurJH1_1952	Staphylococcus aureus (strain JH1)	429	5.4.3.8
A5IU30	GSA2_STAA9	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase 2 (GSA 2) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase 2) (GSA-AT 2)	hemL2 SaurJH9_1918	Staphylococcus aureus (strain JH9)	429	5.4.3.8
Q5HER0	GSA2_STAAC	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase 2 (GSA 2) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase 2) (GSA-AT 2)	hemL2 gsaB SACOL1922	Staphylococcus aureus (strain COL)	429	5.4.3.8
Q7A4T5	GSA2_STAAN	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase 2 (GSA 2) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase 2) (GSA-AT 2)	hemL2 gsaB SA1681	Staphylococcus aureus (strain N315)	429	5.4.3.8
Q6G870	GSA2_STAAS	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase 2 (GSA 2) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase 2) (GSA-AT 2)	hemL2 gsaB SAS1786	Staphylococcus aureus (strain MSSA476)	429	5.4.3.8
A8YY36	GSA2_STAAT	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase 2 (GSA 2) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase 2) (GSA-AT 2)	hemL2 USA300HOU_1859	Staphylococcus aureus (strain USA300 / TCH1516)	429	5.4.3.8
B0VU92	GSA_ACIBS	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL ABSDF1079	Acinetobacter baumannii (strain SDF)	432	5.4.3.8
A3M7I8	GSA_ACIBT	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL A1S_2464	Acinetobacter baumannii (strain ATCC 17978 / CIP 53.77 / LMG 1025 / NCDC KC755 / 5377)	432	5.4.3.8
B0VCN6	GSA_ACIBY	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL ABAYE1011	Acinetobacter baumannii (strain AYE)	432	5.4.3.8
C1F911	GSA_ACIC5	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL ACP_2074	Acidobacterium capsulatum (strain ATCC 51196 / DSM 11244 / JCM 7670 / NBRC 15755 / NCIMB 13165 / 161)	429	5.4.3.8
B3GYN8	GSA_ACTP7	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL APP7_1617	Actinobacillus pleuropneumoniae serotype 7 (strain AP76)	426	5.4.3.8
A6VQ66	GSA_ACTSZ	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL Asuc_1761	Actinobacillus succinogenes (strain ATCC 55618 / DSM 22257 / 130Z)	427	5.4.3.8
B6EL04	GSA_ALISL	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL VSAL_I2572	Aliivibrio salmonicida (strain LFI1238) (Vibrio salmonicida (strain LFI1238))	431	5.4.3.8
A8MGY8	GSA_ALKOO	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL Clos_1330	Alkaliphilus oremlandii (strain OhILAs) (Clostridium oremlandii (strain OhILAs))	424	5.4.3.8
